"Labour force characteristics by province, monthly, seasonally adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 14-10-0287-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age group,Statistics,Data type,Geography 4,Labour force characteristics,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30
Both sexes,55 to 64 years,Estimate,Unadjusted,Canada,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Population 5 6  (x 1,000)","5,185.70","5,188.20","5,191.40","5,193.80","5,196.10","5,199.50","5,200.70","5,200.60","5,200.70","5,200.70","5,200.60","5,200.30","5,199.40","5,199.10","5,199.30","5,199.40","5,199.20","5,199.10","5,198.00","5,195.00","5,192.70","5,190.30","5,187.90"
,,,,,"Labour force 7  (x 1,000)","3,414.10","3,462.80","3,372.20","3,254.00","3,307.00","3,376.30","3,383.60","3,448.90","3,465.30","3,512.30","3,469.10","3,501.60","3,475.60","3,484.40","3,524.70","3,507.50","3,519.00","3,546.10","3,494.50","3,544.90","3,546.10","3,538.60","3,513.00"
,,,,,"Employment 8  (x 1,000)","3,235.60","3,253.30","3,116.90","2,835.60","2,959.00","3,074.30","3,099.80","3,134.10","3,232.60","3,263.30","3,238.30","3,233.80","3,167.80","3,196.50","3,258.50","3,221.00","3,242.80","3,293.20","3,228.60","3,257.80","3,331.10","3,309.50","3,307.00"
,,,,,Full-time employment 9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,Part-time employment  10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,"Unemployment 11  (x 1,000)",178.5,209.5,255.2,418.4,348,301.9,283.8,314.8,232.7,249,230.8,267.9,307.8,287.9,266.2,286.5,276.2,252.9,265.9,287.1,215,229.1,206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unemployment rate 12,5.2,6.1,7.6,12.9,10.5,8.9,8.4,9.1,6.7,7.1,6.7,7.7,8.9,8.3,7.6,8.2,7.8,7.1,7.6,8.1,6.1,6.5,5.9
,,,,,Employment rate 13,62.4,62.7,60,54.6,56.9,59.1,59.6,60.3,62.2,62.7,62.3,62.2,60.9,61.5,62.7,61.9,62.4,63.3,62.1,62.7,64.1,63.8,63.7
