"Labour force characteristics by province, monthly, seasonally adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 14-10-0287-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age group,Statistics,Data type,Geography 4,Labour force characteristics,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30
Both sexes,15 to 19 years,Estimate,Unadjusted,Canada,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Population 5 6  (x 1,000)","2,059.30","2,058.10","2,056.50","2,054.90","2,053.20","2,051.70","2,051.60","2,052.50","2,053.70","2,054.60","2,055.50","2,055.50","2,055.20","2,055.40","2,055.30","2,055.10","2,054.80","2,054.30","2,055.10","2,056.70","2,058.30","2,060.30","2,062.40"
,,,,,"Labour force 7  (x 1,000)",924.7,940.6,820,719.2,906.1,"1,117.60","1,278.00","1,258.70",993.5,960.8,950.1,919.1,844,891.4,924.8,923.5,"1,012.30","1,147.70","1,304.20","1,251.40","1,006.00",970.4,993.8
,,,,,"Employment 8  (x 1,000)",800.3,812.7,630.2,479.9,584,782.2,926.4,939.8,778.2,757.9,763.9,755.4,657.6,707.3,735.3,727.1,799.4,951.1,"1,113.20","1,088.60",874.8,873.3,884.2
,,,,,"Full-time employment 9  (x 1,000)",129.8,126.6,131.2,123.3,194.3,302.9,385.1,406.3,174.4,151.1,152.1,139.5,132.1,127.8,128.2,138.6,203.4,291.2,476.1,427.8,186.4,169.4,160.9
,,,,,"Part-time employment  10  (x 1,000)",670.5,686,499,356.6,389.7,479.3,541.3,533.5,603.8,606.8,611.8,615.9,525.5,579.4,607.1,588.5,596,659.9,637.1,660.8,688.4,703.9,723.3
,,,,,"Unemployment 11  (x 1,000)",124.3,128,189.8,239.3,322.1,335.4,351.6,318.9,215.3,203,186.2,163.7,186.4,184.1,189.5,196.4,212.9,196.6,191,162.7,131.2,97.1,109.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unemployment rate 12,13.4,13.6,23.1,33.3,35.5,30,27.5,25.3,21.7,21.1,19.6,17.8,22.1,20.7,20.5,21.3,21,17.1,14.6,13,13,10,11
,,,,,Employment rate 13,38.9,39.5,30.6,23.4,28.4,38.1,45.2,45.8,37.9,36.9,37.2,36.8,32,34.4,35.8,35.4,38.9,46.3,54.2,52.9,42.5,42.4,42.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..., not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Fluctuations in economic time series are caused by seasonal, cyclical and irregular movements. A seasonally adjusted series is one from which seasonal movements have been eliminated. Seasonal movements are defined as those which are caused by regular annual events such as climate, holidays, vacation periods and cycles related to crops, production and retail sales associated with Christmas and Easter. It should be noted that the seasonally adjusted series contain irregular as well as longer-term cyclical fluctuations. The seasonal adjustment program is a complicated computer program which differentiates between these seasonal, cyclical and irregular movements in a series over a number of years and, on the basis of past movements, estimates appropriate seasonal factors for current data. On an annual basis, the historic series of seasonally adjusted data are revised in light of the most recent information on changes in seasonality.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality.",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"For more information on seasonal adjustment see <a href=http://www.statcan.gc.ca/eng/dai/btd/sad-faq"">Seasonally adjusted data - Frequently asked questions</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Excluding the territories.,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Number of persons of working age, 15 years and over. Estimates in thousands, rounded to the nearest hundred.",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"From December 2000 to January 2001, there is a slight level shift in the population series. This is due to the 2015 population rebasing, which was revised back to 2001. This level shift is evident for certain age groups and in two provinces (Manitoba and Saskatchewan). These shifts are minor for labour force estimates and rates.",,,,,,,,,,,,,,,,,,,,,,,,,,,
